county_fips,county_name,acs_vintage,pop_total,uninsured_count,uninsured_pct,year,low_birthweight_pct,teen_preg_rate,discharge_cancer,discharge_cardiovascular,discharge_endocrine,discharge_external,discharge_infectious,discharge_mental,discharge_respiratory,in_core_11
13013,Barrow,1yr,95879,12596,0.1314,2024,7.8,16.8,229.5,1355.2,449.7,526.5,784.1,428.9,773.7,False
13015,Bartow,1yr,116266,14679,0.1263,2024,8.5,26.4,285.1,2053.5,545.5,632.3,1216.1,634.0,938.7,False
13045,Carroll,1yr,128811,13772,0.1069,2024,8.2,20.8,244.8,1849.7,432.6,531.9,885.2,968.4,805.2,False
13057,Cherokee,1yr,292099,24761,0.0848,2024,6.9,11.4,252.5,1261.6,308.7,470.2,748.5,290.6,616.3,True
13063,Clayton,1yr,293883,47380,0.1612,2024,13.3,24.9,239.8,1452.8,606.0,512.3,1180.7,463.2,572.7,True
13067,Cobb,1yr,782926,91554,0.1169,2024,8.9,15.2,231.1,1206.0,389.1,458.4,666.0,356.7,566.8,True
13077,Coweta,1yr,157140,13471,0.0857,2024,9.4,13.2,214.9,1428.3,420.9,549.8,1337.9,342.5,488.5,False
13085,Dawson,5yr,30042,3551,0.1182,2024,5.9,13.3,225.2,1434.2,400.0,613.4,743.7,524.5,862.3,False
13089,DeKalb,1yr,765514,100356,0.1311,2024,10.7,22.7,236.3,1249.4,464.6,551.2,743.2,476.3,557.2,True
13097,Douglas,1yr,150853,22546,0.1495,2024,10.6,18.2,235.0,1578.8,545.1,505.0,1003.4,573.5,632.7,True
13113,Fayette,1yr,124343,13997,0.1126,2024,9.9,8.4,255.8,1459.6,332.5,547.5,1438.8,246.2,462.8,True
13117,Forsyth,1yr,278867,22225,0.0797,2024,8.2,5.6,216.4,931.1,220.6,355.9,519.5,241.0,425.9,True
13121,Fulton,1yr,1080522,93518,0.0865,2024,11.8,16.9,247.5,1266.1,482.9,608.6,764.0,521.8,556.0,True
13135,Gwinnett,1yr,1000619,147154,0.1471,2024,9.5,16.6,206.7,938.2,320.6,386.7,632.0,337.5,442.3,True
13139,Hall,1yr,220284,34360,0.156,2024,7.6,28.0,217.4,1287.5,425.7,591.7,576.8,609.3,688.2,False
13151,Henry,1yr,257090,27386,0.1065,2024,13.0,16.0,223.7,1343.5,447.3,392.6,1163.4,316.6,452.0,True
13217,Newton,1yr,123195,11044,0.0896,2024,11.5,21.0,253.2,1903.1,543.5,554.8,1306.3,445.1,693.5,False
13223,Paulding,1yr,187035,19718,0.1054,2024,9.4,12.6,273.1,1525.3,461.4,492.7,870.3,517.1,722.9,False
13247,Rockdale,1yr,96992,10992,0.1133,2024,12.7,20.0,252.0,1891.2,637.2,562.4,1656.6,488.7,595.2,True
13255,Spalding,1yr,69588,9589,0.1378,2024,11.5,26.5,328.6,2239.2,751.2,870.7,1721.4,677.2,829.4,False
13297,Walton,1yr,109025,7868,0.0722,2024,7.4,18.6,255.9,1859.9,490.0,568.3,1160.4,332.4,736.8,False
